nct_id,brief_title,study_type,overall_status,start_date,study_first_post_date,enrollment,lead_sponsor,interventions,countries,has_results,preliminary_screening,screening_reason
NCT00884273,Investigation of the Effect of Degarelix in Terms of Prostate Volume Reduction in Prostate Cancer Patients,INTERVENTIONAL,COMPLETED,2009-08,2009-04-20,182,Ferring Pharmaceuticals,Degarelix; Goserelin; Bicalutamide,Belgium; Denmark; Finland; Italy; Norway; Portugal; Sweden; Turkey (Türkiye),True,exclude,Oncology indication not related to transgender health
NCT05169762,Feminizing Treatment in Transgender Women and Non-binary Persons,OBSERVATIONAL,RECRUITING,2022-02-01,2021-12-27,100,Odense University Hospital,standard treatment,Denmark,False,exclude,Does not explicitly meet both criteria (Trans population + GAHT)
NCT05587751,Evaluation of Gender-Affirming Treatments on Pulmonary Function in Transgender and Gender Diverse Patients,INTERVENTIONAL,RECRUITING,2023-02-01,2022-10-20,44,Mayo Clinic,Spirometry; Plethysmography,United States,False,include,Transgender population and GAHT intervention/exposure identified
NCT04616963,Emtricitabine/Tenofovir Alafenamide Switch Study for Transgender Individuals for HIV Pre-exposure Prophylaxis,INTERVENTIONAL,ACTIVE_NOT_RECRUITING,2019-10-24,2020-11-05,64,"University of California, San Diego",Emtricitabine / Tenofovir Disoproxil Oral Tablet 200/300 mg; Emtricitabine Tenofovir Alafenamide 200/25 mg,United States,False,include,Transgender population and GAHT intervention/exposure identified
NCT03683043,Comparative Study Between ICSI Results in Transvaginal Ultrasound Guided Embryo Transfer and Transabdominal Ultrasound Guided Embryo Transfer,INTERVENTIONAL,UNKNOWN,2018-09,2018-09-25,120,Cairo University,Long GnRH agonist protocol; Embryo transfer,Egypt,False,exclude,Cisgender/unrelated indication
NCT04511052,Probiotics for Enhanced Tissue Carotenoid Status in Premenopausal Women,INTERVENTIONAL,COMPLETED,2021-11-01,2020-08-12,37,McGill University,Probiotic; Placebo; Carotenoid supplement,Canada,False,exclude,Does not explicitly meet both criteria (Trans population + GAHT)
NCT07085715,Pan-Viral Screening and Linkage to Care Among GBMSM and Trans Women in Spain,OBSERVATIONAL,NOT_YET_RECRUITING,2025-10,2025-07-25,500,Fundació Institut Germans Trias i Pujol,"Online self-sampling testing strategy to enhance pan-viral testing (HBV, HCV, HIV)",,False,exclude,Does not explicitly meet both criteria (Trans population + GAHT)
NCT06470906,Feasibility of an Oral Intervention for Sexual Health in Transgender Men,INTERVENTIONAL,COMPLETED,2024-08-14,2024-06-24,29,Columbia University,Probiotic Group; Placebo Group,United States,False,exclude,Does not explicitly meet both criteria (Trans population + GAHT)
NCT06545721,Weight Cycling on Hyperandrogenemia and Insulin Resistance in Polycystic Ovary Syndrome,INTERVENTIONAL,RECRUITING,2024-08-13,2024-08-09,425,Peking Union Medical College Hospital,Adjusting dietary structure + exercise + behavioral intervention; Precision dietary prescription; Standard guideline-based low-energy diet,China,False,exclude,Cisgender/unrelated indication
NCT05166083,Investigation of the Perceptual and Acoustic Voice in Trans Man,OBSERVATIONAL,COMPLETED,2022-03-11,2021-12-21,26,Hacettepe University,Testosterone Hormon Therapy,Turkey (Türkiye),False,include,Transgender population and GAHT intervention/exposure identified
